[ 2026-05-19 11:32:14,721 ] 19 root - INFO - Initiate the data ingestion
[ 2026-05-19 11:32:17,450 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-05-19 11:32:17,450 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-19 11:32:17,451 ] 75 root - INFO - Exporting train and test file path.
[ 2026-05-19 11:32:17,517 ] 84 root - INFO - Exported train and test file path.
[ 2026-05-19 11:32:17,518 ] 21 root - INFO - Data Initiation Completed
[ 2026-05-19 11:32:17,528 ] 25 root - INFO - Initiate the data Validation
[ 2026-05-19 11:32:17,561 ] 32 root - INFO - Required number of columns:2
[ 2026-05-19 11:32:17,561 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-19 11:32:17,561 ] 32 root - INFO - Required number of columns:2
[ 2026-05-19 11:32:17,561 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-19 11:32:17,832 ] 27 root - INFO - data Validation Completed
[ 2026-05-19 11:32:17,832 ] 29 root - INFO - data Transformation Started
[ 2026-05-19 11:32:17,832 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-19 11:32:17,832 ] 65 root - INFO - Starting data transformation
[ 2026-05-19 11:32:17,862 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-19 11:32:17,863 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-19 11:32:17,880 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-19 11:32:17,884 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-19 11:32:17,884 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-19 11:32:17,888 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-19 11:32:17,889 ] 34 root - INFO - data Transformation Completed
