[ 2026-05-19 11:26:55,092 ] 19 root - INFO - Initiate the data ingestion
[ 2026-05-19 11:26:58,301 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-05-19 11:26:58,301 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-19 11:26:58,302 ] 75 root - INFO - Exporting train and test file path.
[ 2026-05-19 11:26:58,371 ] 84 root - INFO - Exported train and test file path.
[ 2026-05-19 11:26:58,372 ] 21 root - INFO - Data Initiation Completed
[ 2026-05-19 11:26:58,383 ] 25 root - INFO - Initiate the data Validation
[ 2026-05-19 11:26:58,422 ] 32 root - INFO - Required number of columns:2
[ 2026-05-19 11:26:58,422 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-19 11:26:58,422 ] 32 root - INFO - Required number of columns:2
[ 2026-05-19 11:26:58,422 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-19 11:26:58,619 ] 27 root - INFO - data Validation Completed
[ 2026-05-19 11:26:58,620 ] 29 root - INFO - data Transformation Started
[ 2026-05-19 11:26:58,620 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-05-19 11:26:58,620 ] 65 root - INFO - Starting data transformation
[ 2026-05-19 11:26:58,664 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-05-19 11:26:58,664 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-19 11:26:58,686 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-19 11:26:58,690 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-19 11:26:58,690 ] 43 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-19 11:26:58,695 ] 47 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-19 11:26:58,697 ] 34 root - INFO - data Transformation Completed
